Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"✅ Apartament frumos cu 2 camere | bloc nou | parcare | zona Andrei Muresan Sud!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",150000.00 ,Semidec.,52 mp
"✅ Apartament superb cu 3 camere | 92 mp | garaj | zona Observatorului!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",270000.00 ,Dec.,92 mp
"!deal investitie, apartament 1 camera in zona Calea Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",88500.00 ,Dec.,42 mp
"!deal pentru investitie, 2 camere in zona Constantin Brancusi
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",89500.00 ,Semidec.,45 mp
"!EXCLUSIV, apartament 2 camere,etaj 1, parcare subterana, zona Corneliu Coposu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",115000.00 ,Semidec.,43 mp
"% COMISION apartament 3 camere, zona Selgros
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someşeni",148000.00 ,Semidec.,68 mp
": : Ap 2 camere -57 mp- zona PLATINIA- Foarte Spatios- Bloc NOU : :
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",180000.00 ,Semidec.,57 mp
": : Ap. 3 camere Decomandate -Zona Autogara Beta - etaj 3 din 4 : :
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",125000.00 ,Dec.,64 mp
"0 % comision ! Apartamente 2 si 3 camere, imobil nou finalizat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",135779.00 ,Semidec.,52.81 mp
"0 % comision 2 camere, finisate si mobilate, constructie noua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",106000.00 ,Semidec.,39 mp
"0 % Comision Apartament 3 camere, 180 mp curte, 2 locuri de parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",237000.00 ,Semidec.,92 mp
"0 % comision Apartament finisat si mobilat, constructie noua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",106000.00 ,Semidec.,39 mp
"0 % comision Apartamente  2 si 3 camere, imobil nou, finalizat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",183677.00 ,Semidec.,76.99 mp
